dbus.Struct((dbus.String(u'/etc/systemd/system/dbus-org.freedesktop.Avahi.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/etc/systemd/system/dbus-org.freedesktop.NetworkManager.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/etc/systemd/system/display-manager.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/etc/systemd/system/dbus-org.freedesktop.nm-dispatcher.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/etc/systemd/system/dbus-org.freedesktop.ModemManager1.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/etc/systemd/system/dbus-org.bluez.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/etc/systemd/system/syslog.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/etc/systemd/system/default.target'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/etc/systemd/system/dbus-org.fedoraproject.FirewallD1.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/run/systemd/system/session-1.scope'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/run/systemd/system/session-c1.scope'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-nspawn@.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/hibernate.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/network.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/remote-fs.target'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/nss-lookup.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/mdmon@.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/firewalld.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/rpcidmapd.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/rpcsvcgssd.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/initrd-switch-root.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/initrd-cleanup.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-readahead-replay.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/dracut-pre-mount.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/rsyslog.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/fprintd.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/dracut-mount.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/final.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/fedora-autorelabel.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/dbus.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/canberra-system-shutdown-reboot.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/avahi-daemon.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-machined.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/abrt-ccpp.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-reboot.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/runlevel3.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/dracut-shutdown.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-localed.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-hibernate.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/initrd-switch-root.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/halt-local.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/nfs-blkmap.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-readahead-drop.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-hostnamed.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/basic.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/lm_sensors.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/rpcgssd.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/mariadb.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/fedora-loadmodules.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/runlevel0.target'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/dev-hugepages.mount'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/brltty.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/initrd-udevadm-cleanup-db.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/tcsd.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/initrd-fs.target'), dbus.String(u'static')), signature=None)
